zipCode,Female,Male
01749,38640,37612
01752,77744,76252
01754,21076,19348
01756,11660,11696
01757,56360,55884
01760,68036,63108
01770,8460,8016
01772,18932,18548
01773,10640,9808
01775,13384,12976
01776,36168,34468
01778,27152,25284
01801,80208,75404
01803,50188,47760
01810,68720,64084
01821,61424,59816
01824,51080,48564
01826,60036,57652
01827,6324,6392
01830,52124,48424
01832,45888,42352
01833,16572,16160
01834,13328,12508
01835,28676,26052
01840,9468,9464
01841,97672,91228
01843,51280,46420
01844,98968,90028
01845,59268,54140
01850,31132,29816
01851,60588,60172
01852,68012,66020
01854,54904,55520
01860,13124,12228
01862,19000,21908
01863,18660,16904
01864,30268,29300
01867,49400,46424
01876,59036,55632
01879,23132,22088
01880,51316,47616
01886,44200,43604
01887,45504,43796
01890,44756,40772
01901,3444,3312
01902,92052,88504
01904,37396,35416
01905,51432,49572
01906,55816,50824
01907,29868,26240
01908,7088,6552
01913,33648,31484
01915,83124,74884
01921,16172,15672
01922,6380,6052
01923,56084,49284
01929,7004,7012
01930,59776,55380
01937,264,340
01938,27600,25100
01940,24952,23480
01944,10920,9624
01945,41808,37424
01949,15828,20120
01950,37292,32372
01951,7280,6952
01952,17108,16024
01960,106976,96800
01966,14988,12820
01969,11836,11588
01970,87820,76616
01982,15796,15260
01983,12592,11764
01984,10676,8824
01985,8524,8416
02019,33600,31728
02021,45452,40792
02025,15356,14812
02026,51044,47800
02030,11236,11120
02032,8504,8400
02035,34368,33092
02038,64536,62004
02043,47008,41620
02045,21664,19508
02047,408,312
02048,46668,46068
02050,52208,49508
02052,24784,23312
02053,26188,24820
02054,16112,15452
02056,17876,26048
02061,21884,20140
02062,59636,54772
02066,36764,33860
02067,36208,33736
02071,1948,4880
02072,56220,51776
02081,38724,35164
02090,30660,27884
02093,22220,21600
02108,7616,7684
02109,7280,7804
02110,3352,3580
02111,14464,15068
02113,15076,12584
02114,24028,23968
02115,58356,55408
02116,42252,40260
02118,49120,56872
02119,54952,46432
02120,30816,29908
02121,58216,45696
02122,47404,46512
02124,103836,87296
02125,67584,65596
02126,56060,46188
02127,67456,59740
02128,76776,85256
02129,35400,30356
02130,76684,64920
02131,63856,55448
02132,55272,48172
02134,39716,46296
02135,87852,83268
02136,60656,53296
02138,76960,68296
02139,72204,73192
02140,37840,32588
02141,23752,23888
02142,5780,6784
02143,49508,48548
02144,50916,44648
02145,50012,51744
02148,122712,115300
02149,84664,81536
02150,69024,71472
02151,105584,101648
02152,36156,33832
02155,121032,110824
02163,5180,5148
02169,114464,105756
02170,40656,37364
02171,37168,33676
02176,57164,50768
02180,45156,40592
02184,75480,67496
02186,57068,50944
02188,31212,27220
02189,30756,27480
02190,33496,30980
02191,17676,16152
02199,2488,2096
02203,0,0
02210,3604,4756
02215,59644,44856
02301,126880,117220
02302,67852,63112
02322,8988,8436
02324,51520,54732
02330,23596,22440
02332,31272,28964
02333,28260,26916
02338,15436,14636
02339,28416,27100
02341,20552,20320
02343,22072,20908
02346,47276,45148
02347,21648,20800
02351,32796,31320
02356,26136,24120
02357,3160,2280
02359,36308,35004
02360,114228,110856
02364,26356,24160
02366,4,784
02367,5744,5536
02368,66884,61748
02370,36524,33432
02375,18900,17852
02379,14064,13600
02382,29676,28280
02420,29464,26744
02421,36496,32872
02445,44660,38056
02446,65860,51384
02451,35604,34100
02452,28632,28320
02453,57476,58396
02457,2520,3208
02458,26076,22448
02459,40228,36152
02460,18460,16508
02461,14940,13296
02462,3420,2796
02464,6440,5372
02465,24536,22304
02466,17948,14436
02467,48508,41456
02468,10812,10280
02472,68040,60016
02474,55872,49376
02476,35888,30240
02478,52296,46360
02481,37884,27092
02482,22180,19044
02492,41344,38380
02493,23536,21508
02494,18548,17272
02532,24776,25984
02534,1708,1660
02535,2340,2368
02536,40992,37340
02537,13000,12172
02538,7376,7036
02539,7900,8368
02540,18192,14692
02542,1452,3104
02543,1352,1188
02553,480,424
02554,19212,20196
02556,6644,5816
02557,9180,8784
02558,4400,4224
02559,7092,6412
02561,1040,1116
02562,6268,5640
02563,21632,19804
02564,644,596
02568,8156,7844
02571,21856,20068
02575,5700,5200
02576,7868,7148
02584,12,28
02601,28668,27688
02630,3876,3524
02631,20792,17924
02632,22760,20208
02633,8064,7472
02635,6712,6472
02637,512,500
02638,6836,5992
02639,6020,5480
02641,1116,1012
02642,10560,9188
02643,76,28
02644,8116,7704
