Zip Code;Population;
33541;19900;
32829;19888;
33440;19878;
34470;19856;
33897;19855;
33167;19837;
32128;19806;
33761;19744;
32803;19583;
33432;19578;
34473;19522;
33606;19466;
34747;19413;
32217;19411;
32024;19378;
34238;19364;
34212;19301;
33187;19286;
34481;19147;
33774;19108;
34480;19029;
33572;18998;
32541;18908;
34685;18899;
32141;18828;
33304;18771;
32934;18761;
32351;18643;
34286;18625;
32601;18579;
33976;18554;
33545;18522;
32097;18518;
33609;18413;
33912;18402;
33523;18387;
33759;18366;
33635;18353;
33408;18248;
33598;18226;
34736;18213;
32408;18141;
34420;18107;
34695;18096;
34285;18069;
33716;18043;
33549;18015;
34233;17989;
34715;17948;
32966;17868;
33773;17768;
33559;17731;
34145;17692;
32804;17653;
34465;17603;
32433;17586;
33413;17473;
33605;17457;
34613;17433;
33182;17379;
32821;17374;
34223;17370;
34771;17351;
32118;17349;
33637;17345;
33565;17311;
34237;17307;
33760;17260;
32766;17252;
34105;17248;
32428;17179;
33777;17179;
33974;17119;
32055;17114;
33898;17107;
34950;17027;
34210;17023;
34994;16909;
34788;16886;
33004;16812;
33066;16786;
34114;16727;
33131;16715;
34474;16659;
34446;16647;
34108;16636;
33704;16503;
32206;16500;
33534;16487;
33948;16361;
33190;16305;
33706;16294;
33146;16156;
33616;16145;
33708;16098;
34292;16054;
32226;16013;
34951;15978;
34224;15913;
32310;15864;
34117;15794;
33872;15778;
32922;15741;
34984;15663;
33035;15658;
34239;15499;
32459;15400;
32091;15311;
33972;15299;
33330;15226;
33701;15209;
33469;15195;
33301;15062;
32641;14989;
33019;14933;
33412;14918;
33973;14875;
33527;14850;
33136;14839;
32963;14790;
33154;14790;
33778;14710;
34241;14675;
34235;14671;
32317;14665;
34610;14656;
32615;14630;
32176;14629;
32413;14619;
32534;14524;
32656;14433;
33983;14422;
33602;14409;
33498;14404;
33815;14328;
33765;14270;
32931;14118;
32903;14090;
32968;14015;
34134;13977;
34442;13953;
32063;13840;
32011;13805;
33873;13762;
33170;13748;
33477;13710;
34479;13533;
32425;13480;
33812;13450;
33315;13362;
33980;13336;
32081;13266;
34731;13218;
34947;13188;
32220;13179;
32653;13168;
33129;13128;
32669;13098;
33149;13054;
32254;13039;
33478;13015;
32908;13001;
32569;12971;
34236;12920;
33132;12895;
34475;12882;
33776;12872;
34103;12802;
34669;12752;
32348;12673;
34432;12583;
33403;12558;
33305;12425;
32776;12416;
32696;12363;
32344;12360;
33567;12318;
32784;12313;
34288;12304;
33513;12303;
33853;12254;
32693;12186;
32801;12174;
33868;12092;
32951;12029;
34690;12028;
32219;11931;
33483;11904;
32054;11724;
33449;11602;
34604;11573;
32501;11557;
33332;11518;
34102;11454;
34453;11427;
33955;11406;
34452;11400;
32446;11303;
33473;11300;
32340;11294;
32643;11207;
34222;11184;
34240;11142;
33843;11136;
34996;11119;
33592;11068;
33982;11025;
33037;10955;
33875;10928;
32640;10790;
34450;10747;
33981;10729;
33931;10675;
34461;10664;
34448;10620;
32333;10506;
32169;10502;
34488;10499;
32148;10450;
32754;10436;
32407;10433;
33859;10364;
32409;10191;
32579;10187;
33966;10185;
32920;10181;
32680;10111;
32038;10103;
34956;10057;
33480;10027;
32095;10006;
32439;9964;
32736;9922;
33316;9801;
32222;9772;
33896;9746;
32052;9704;
32833;9697;
33050;9433;
32046;9426;
32827;9421;
34428;9369;
32561;9305;
33954;9294;
32820;9240;
32976;9001;
33841;8944;
33947;8901;
32626;8784;
34607;8778;
33540;8737;
34987;8660;
33476;8618;
32550;8490;
33194;8485;
32448;8480;
32456;8437;
34429;8272;
34436;8225;
34637;8209;
33597;8207;
32465;8179;
33762;8093;
32179;8075;
32618;8058;
32112;8054;
32110;8009;
34431;7958;
32136;7933;
32948;7908;
34211;7885;
34229;7824;
33850;7802;
32347;7795;
32440;7762;
34434;7731;
33767;7714;
34242;7706;
33834;7695;
32066;7664;
32612;7606;
33128;7585;
32040;7570;
32132;7514;
32204;7507;
33715;7488;
34949;7429;
33031;7387;
32134;7376;
32435;7325;
34602;7314;
34614;7237;
34228;7233;
33957;7224;
32603;7195;
32424;7182;
32814;7155;
33471;7155;
32666;7147;
32266;7080;
33548;7063;
32064;6888;
33953;6885;
32352;6698;
33158;6641;
33042;6524;
34688;6497;
32466;6450;
32321;6277;
32202;6165;
34291;6119;
33920;5993;
32730;5991;
32087;5979;
34433;5957;
34946;5950;
34251;5922;
32460;5831;
32124;5823;
34753;5818;
32234;5780;
32531;5735;
32535;5694;
32145;5659;
32189;5611;
32130;5581;
33493;5543;
33070;5518;
33785;5515;
33620;5402;
32621;5394;
32508;5381;
32113;5366;
32619;5326;
32421;5256;
34981;5139;
34217;5127;
32628;5040;
34945;5019;
33043;4928;
33890;4872;
32565;4826;
32732;4809;
32686;4764;
32324;4726;
32668;4700;
33876;4689;
32735;4673;
32033;4660;
33576;4654;
32058;4585;
32131;4560;
32008;4538;
33538;4523;
32455;4514;
32580;4364;
32577;4321;
32464;4311;
32331;4269;
34734;4225;
32950;4222;
33838;4178;
32322;4152;
32667;4090;
34269;4025;
32431;3975;
32617;3937;
32180;3934;
34201;3930;
32071;3856;
32320;3832;
32009;3821;
34773;3771;
32744;3764;
34289;3734;
33922;3731;
34756;3704;
32462;3641;
34484;3604;
32083;3563;
32438;3473;
33956;3437;
33306;3378;
32403;3374;
32443;3322;
32343;3301;
32831;3280;
33036;3274;
32767;3273;
33839;3267;
32764;3188;
32502;3185;
32053;3139;
32442;3132;
32567;3104;
32227;3087;
32542;3081;
32328;3032;
32195;2986;
34449;2966;
32564;2931;
33827;2930;
32702;2793;
32759;2787;
32568;2735;
34705;2649;
32949;2629;
32798;2595;
34737;2551;
33621;2533;
32445;2525;
32212;2499;
32059;2465;
32694;2454;
33514;2350;
33946;2325;
32181;2268;
32094;2254;
32102;2195;
32187;2186;
32096;2179;
32334;2088;
32062;2085;
33857;2071;
32544;2003;
32709;1986;
32420;1983;
32026;1907;
32358;1889;
32044;1824;
32346;1769;
33965;1659;
33786;1632;
32625;1626;
32925;1506;
33585;1394;
32140;1393;
32336;1373;
32332;1315;
33849;1191;
32350;1184;
32359;1162;
32616;1142;
33851;1105;
32190;1089;
34797;1084;
33865;1078;
32430;1064;
33848;1059;
32511;1034;
32423;1025;
32622;1004;
32410;987;
32427;926;
32437;921;
32426;914;
33930;903;
34216;874;
34760;874;
33921;861;
32139;854;
32330;828;
34681;775;
33960;719;
32193;718;
32509;702;
32449;637;
33877;589;
34498;576;
32648;570;
33051;569;
34215;560;
32147;556;
32664;538;
34139;486;
34762;484;
33109;475;
32079;461;
32061;457;
34137;454;
34140;437;
33521;430;
32323;422;
33867;393;
32658;376;
32228;368;
33039;356;
32697;334;
34739;334;
33856;330;
33001;323;
32072;299;
32692;274;
34138;268;
33944;268;
33438;265;
32631;264;
32361;256;
33854;236;
32355;224;
33503;204;
32970;204;
32157;202;
33924;200;
32463;171;
33847;171;
32447;161;
33744;145;
32683;140;
34661;138;
34268;128;
32639;123;
33122;109;
34679;103;
32356;91;
34141;67;
32681;47;
32461;34;
32133;34;
32830;5;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
